invoiceno,invoicedate,customerid
536365,2010-12-01 08:26:00,17850
536366,2010-12-01 08:28:00,17850
536367,2010-12-01 08:34:00,13047
536368,2010-12-01 08:34:00,13047
536369,2010-12-01 08:35:00,13047
536370,2010-12-01 08:45:00,12583
536371,2010-12-01 09:00:00,13748
536372,2010-12-01 09:01:00,17850
536373,2010-12-01 09:02:00,17850
536374,2010-12-01 09:09:00,15100
536375,2010-12-01 09:32:00,17850
536376,2010-12-01 09:32:00,15291
536377,2010-12-01 09:34:00,17850
536378,2010-12-01 09:37:00,14688
536380,2010-12-01 09:41:00,17809
536381,2010-12-01 09:41:00,15311
C536379,2010-12-01 09:41:00,14527
536382,2010-12-01 09:45:00,16098
C536383,2010-12-01 09:49:00,15311
536384,2010-12-01 09:53:00,18074
536385,2010-12-01 09:56:00,17420
536386,2010-12-01 09:57:00,16029
536387,2010-12-01 09:58:00,16029
536388,2010-12-01 09:59:00,16250
536389,2010-12-01 10:03:00,12431
536390,2010-12-01 10:19:00,17511
C536391,2010-12-01 10:24:00,17548
536392,2010-12-01 10:29:00,13705
536393,2010-12-01 10:37:00,13747
536394,2010-12-01 10:39:00,13408
536395,2010-12-01 10:47:00,13767
536396,2010-12-01 10:51:00,17850
536397,2010-12-01 10:51:00,17924
536398,2010-12-01 10:52:00,13448
536399,2010-12-01 10:52:00,17850
536400,2010-12-01 10:53:00,13448
536401,2010-12-01 11:21:00,15862
536402,2010-12-01 11:22:00,15513
536403,2010-12-01 11:27:00,12791
536404,2010-12-01 11:29:00,16218
536405,2010-12-01 11:32:00,14045
536406,2010-12-01 11:33:00,17850
536407,2010-12-01 11:34:00,17850
536408,2010-12-01 11:41:00,14307
536409,2010-12-01 11:45:00,17908
536412,2010-12-01 11:49:00,17920
536414,2010-12-01 11:52:00,-1
536415,2010-12-01 11:57:00,12838
536416,2010-12-01 11:58:00,13255
536420,2010-12-01 12:03:00,16583
536423,2010-12-01 12:08:00,18085
536425,2010-12-01 12:08:00,13758
536437,2010-12-01 12:12:00,13694
536446,2010-12-01 12:15:00,15983
536460,2010-12-01 12:22:00,14849
536463,2010-12-01 12:22:00,14849
536464,2010-12-01 12:23:00,17968
536466,2010-12-01 12:23:00,14849
536477,2010-12-01 12:27:00,16210
536488,2010-12-01 12:31:00,17897
536500,2010-12-01 12:35:00,17377
536502,2010-12-01 12:36:00,16552
536508,2010-12-01 12:38:00,17181
C536506,2010-12-01 12:38:00,17897
536514,2010-12-01 12:40:00,17951
536520,2010-12-01 12:43:00,14729
536521,2010-12-01 12:48:00,12748
536522,2010-12-01 12:49:00,15012
536523,2010-12-01 12:50:00,12868
536524,2010-12-01 12:51:00,17572
536525,2010-12-01 12:54:00,14078
536526,2010-12-01 12:58:00,14001
536527,2010-12-01 13:04:00,12662
536528,2010-12-01 13:17:00,15525
536529,2010-12-01 13:20:00,14237
536530,2010-12-01 13:21:00,17905
536531,2010-12-01 13:23:00,15485
536532,2010-12-01 13:24:00,12433
536533,2010-12-01 13:31:00,16955
536534,2010-12-01 13:33:00,15350
536535,2010-12-01 13:38:00,15605
536536,2010-12-01 13:45:00,18144
536537,2010-12-01 13:51:00,15922
536538,2010-12-01 13:54:00,14594
536539,2010-12-01 14:03:00,15165
536540,2010-12-01 14:05:00,14911
536541,2010-12-01 14:05:00,14911
536542,2010-12-01 14:11:00,16456
C536543,2010-12-01 14:30:00,17841
536544,2010-12-01 14:32:00,-1
536545,2010-12-01 14:32:00,-1
536546,2010-12-01 14:33:00,-1
536547,2010-12-01 14:33:00,-1
C536548,2010-12-01 14:33:00,12472
536549,2010-12-01 14:34:00,-1
536550,2010-12-01 14:34:00,-1
536551,2010-12-01 14:34:00,17346
536552,2010-12-01 14:34:00,-1
536553,2010-12-01 14:35:00,-1
536554,2010-12-01 14:35:00,-1
536555,2010-12-01 14:37:00,-1
536556,2010-12-01 14:38:00,17643
536557,2010-12-01 14:41:00,17841
536558,2010-12-01 14:48:00,-1
536559,2010-12-01 14:54:00,17873
536560,2010-12-01 15:00:00,13093
536561,2010-12-01 15:06:00,12921
536562,2010-12-01 15:08:00,13468
536563,2010-12-01 15:08:00,17760
536564,2010-12-01 15:08:00,13468
536565,2010-12-01 15:15:00,-1
536566,2010-12-01 15:21:00,16928
536567,2010-12-01 15:27:00,16048
536568,2010-12-01 15:28:00,16048
536569,2010-12-01 15:35:00,16274
536570,2010-12-01 15:35:00,14496
536571,2010-12-01 15:37:00,14696
536572,2010-12-01 15:40:00,16539
536573,2010-12-01 15:45:00,17025
536574,2010-12-01 15:46:00,17025
536575,2010-12-01 16:01:00,13777
536576,2010-12-01 16:11:00,13777
536577,2010-12-01 16:13:00,13777
536578,2010-12-01 16:15:00,17690
536579,2010-12-01 16:16:00,13777
536580,2010-12-01 16:17:00,17690
536581,2010-12-01 16:19:00,13777
536582,2010-12-01 16:21:00,12947
536583,2010-12-01 16:21:00,13777
536584,2010-12-01 16:22:00,13777
536585,2010-12-01 16:24:00,17460
536586,2010-12-01 16:25:00,18229
536587,2010-12-01 16:33:00,14142
536588,2010-12-01 16:49:00,17069
536589,2010-12-01 16:50:00,-1
536590,2010-12-01 16:52:00,13065
536591,2010-12-01 16:57:00,14606
536591,2010-12-01 16:58:00,14606
536592,2010-12-01 17:06:00,-1
536593,2010-12-01 17:15:00,16835
536594,2010-12-01 17:22:00,15235
536595,2010-12-01 17:24:00,13576
